Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2021-06-21,NASDAQ PSX (X),25211485,18613505,24064850,67889840,836359668.633400,1460550492.795400,1545197875.241800,3842108036.670600,200911,96022,216491,513424
2021-06-21,BYX Equities (Y),53127431,38980571,41544742,133652744,2266743167.898200,2978015106.840501,2361865386.479000,7606623661.217701,638355,215348,555296,1408999
2021-06-21,BZX Equities (Z),173956338,106697976,158962216,439616530,9452169779.311401,9362421553.222303,11149751169.309601,29964342501.843305,2293310,684192,2034919,5012421
2021-06-18,NYSE American (A),17024918,100415536,10742199,128182653,759949336.128000,1453585171.560500,605643190.246000,2819177697.934500,234323,137307,144250,515880
2021-06-18,NASDAQ BX (B),35798373,22285986,30860858,88945217,1788574796.464100,1931428620.416500,2266854992.091299,5986858408.971899,468035,174940,430997,1073972
2021-06-18,NYSE National (C),75692321,42470350,40201652,158364323,2274743963.642900,2144788477.253400,1582303285.825800,6001835726.722100,744367,202382,450610,1397359
2021-06-18,FINRA / Nasdaq TRF Chicago (DB),7556312,2842619,12899333,23298264,380424454.830100,136381214.889200,656775586.124800,1173581255.844100,44627,10260,60388,115275
2021-06-18,FINRA / NYSE TRF (DN),298005182,117255475,480089213,895349870,12522005955.977007,6302098053.179400,16377785680.730400,35201889689.886807,1462143,325038,1668780,3455961
2021-06-18,FINRA / Nasdaq TRF Carteret (DQ),1744043546,690133160,1906721863,4340898569,86969547763.743108,54051311735.932403,96098627412.598628,237119486912.274139,8072009,2297023,7315463,17684495
2021-06-18,MIAX Pearl (H),19354347,14738384,16156344,50249075,933305119.569300,988904366.646900,1161135399.008600,3083344885.224800,224640,78654,177638,480932
