Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2024-10-10,NYSE American (A),4521246,14463339,6691841,25676426,218027554.098900,241409399.194500,241657082.024800,701094035.318200,57023,54005,49653,160681
2024-10-10,NASDAQ BX (B),7864984,8226721,12921434,29013139,513028133.124500,406600884.385800,704635820.204400,1624264837.714700,117733,53301,136925,307959
2024-10-10,NYSE National (C),9954350,9451687,11759914,31165951,301652298.417800,320947502.431500,362787467.161300,985387268.010600,118638,44642,98425,261705
2024-10-10,FINRA / Nasdaq TRF Chicago (DB),5948584,3473255,14372963,23794802,238819053.773600,153055837.790300,965104984.405800,1356979875.969700,53879,19459,119176,192514
2024-10-10,FINRA / NYSE TRF (DN),54179165,43200106,196536349,293915620,2231566378.277399,2463507923.529402,5112344927.531202,9807419229.338003,445137,167177,612576,1224890
2024-10-10,FINRA / Nasdaq TRF Carteret (DQ),1418500163,811122587,2896478757,5126101507,68013032196.849633,42721163097.387491,106196441470.540605,216930636764.777729,11606683,2884407,12943311,27434401
2024-10-10,MIAX Pearl (H),43809594,57161043,79829175,180799812,1012010166.203900,1911325921.872500,1616139845.599900,4539475933.676300,370357,190856,396360,957573
2024-10-10,EDGA Equities (J),20436779,17324237,91064224,128825240,873965220.213700,695472228.717000,1036529601.243100,2605967050.173800,266755,92950,306070,665775
2024-10-10,EDGX Equities (K),119044670,125716058,385087943,629848671,4870276769.973001,5889341338.391703,14188154952.371394,24947773060.736098,1045194,609464,1928206,3582864
2024-10-10,LTSE (L),10945042,2487879,14697174,28130095,1046017482.804000,539130244.420800,1065931087.456400,2651078814.681200,67352,6426,65565,139343
2024-10-10,NYSE Chicago (M),7714284,11220707,12792868,31727859,635626702.657400,2090551935.044500,2699860566.947302,5426039204.649202,67526,6477,62899,136902
2024-10-10,NYSE (N),795263636,40508042,68758324,904530002,43514489674.414808,2313250244.926001,2968018016.158801,48795757935.499610,2739229,153181,466006,3358416
2024-10-10,NYSE Arca (P),136072316,325038710,626197160,1087308186,6484270922.346400,19932249756.182198,13710751993.730991,40127272672.259589,1592636,1368116,3022268,5983020
2024-10-10,NASDAQ (Q),309346649,161756490,1058191989,1529295128,16715446333.160703,11218754404.268296,61039652864.075292,88973853601.504291,4680309,979085,7538673,13198067
2024-10-10,Members Exchange (U),46320112,44092152,185198693,275610957,1918134393.767000,2195943354.674600,3581182984.575803,7695260733.017403,578345,212481,742900,1533726
2024-10-10,Investors Exchange (V),126448431,55184466,115404944,297037841,7088952469.742899,2730587429.112001,6529876782.296302,16349416681.151202,1562520,244949,1320480,3127949
2024-10-10,NASDAQ PSX (X),4723038,4900604,7957925,17581567,263262850.032700,422667600.387400,355543076.081000,1041473526.501100,70030,27937,87873,185840
2024-10-10,BYX Equities (Y),23079427,15709787,36542351,75331565,895085281.955300,678215083.773000,1063893820.276800,2637194186.005100,315199,85738,314261,715198
2024-10-10,BZX Equities (Z),128892054,112673328,184695295,426260677,6616763745.404700,6808476184.635599,9504124222.041604,22929364152.081903,1887124,605904,1854918,4347946
2024-10-09,NYSE American (A),5677496,13627117,5408020,24712633,247842836.426000,282992763.041700,259970825.293900,790806424.761600,65914,59560,51542,177016
2024-10-09,NASDAQ BX (B),9433315,10363059,11028422,30824796,518946648.901200,452245919.525400,600828478.536000,1572021046.962600,122969,65348,131549,319866
2024-10-09,NYSE National (C),11710860,9855435,11285076,32851371,320772714.514900,320756209.841200,305725986.053100,947254910.409200,130707,46213,105173,282093
2024-10-09,FINRA / Nasdaq TRF Chicago (DB),6442833,4372694,14832051,25647578,261951491.017700,153610449.321500,957920806.747000,1373482747.086200,64181,20363,123596,208140
2024-10-09,FINRA / NYSE TRF (DN),60681683,51300822,165585236,277567741,2438057442.163399,1954661328.659299,4671767699.765901,9064486470.588599,489758,179552,620338,1289648
2024-10-09,FINRA / Nasdaq TRF Carteret (DQ),1609963145,959099319,2680192981,5249255445,72709675164.228828,47804621579.704509,104569425160.402475,225083721904.335812,12092519,3054485,13063995,28210999
2024-10-09,MIAX Pearl (H),44150745,55600399,75224646,174975790,1036299878.979800,2016969407.003200,1742855170.649900,4796124456.632900,372069,192102,407992,972163
2024-10-09,EDGA Equities (J),30058866,17574145,53775232,101408243,942545101.593300,672096118.958600,1007704082.250700,2622345302.802600,289859,88283,302329,680471
2024-10-09,EDGX Equities (K),147043215,132052611,332751060,611846886,5304158404.228102,5845355593.923499,12874219827.952399,24023733826.104000,1092049,582629,1824820,3499498
2024-10-09,LTSE (L),6053277,1472723,7046864,14572864,588365663.685200,223116368.150300,574777589.949800,1386259621.785300,43709,4482,43007,91198
2024-10-09,NYSE Chicago (M),5489388,14518751,13693671,33701810,377362876.150300,1900183296.635301,2162295297.367000,4439841470.152601,46056,7866,44365,98287
2024-10-09,NYSE (N),829552078,42246247,71102837,942901162,47334630992.554400,2234473826.920200,2799232129.703200,52368336949.177800,2869083,148608,453005,3470696
2024-10-09,NYSE Arca (P),186927484,341393690,472432397,1000753571,7122313463.757900,18689009994.849309,14038612274.901509,39849935733.508718,1683603,1365105,3101164,6149872
2024-10-09,NASDAQ (Q),391197443,168646905,985618707,1545463055,17999776166.351497,10776793602.496102,60296710800.027479,89073280568.875078,4920215,955329,7600876,13476420
2024-10-09,Members Exchange (U),48781612,43312013,130442054,222535679,2041059780.209400,2287498572.554500,3480355587.727999,7808913940.491899,577603,201654,725573,1504830
2024-10-09,Investors Exchange (V),140291578,60400847,117206374,317898799,7521726161.867999,2788491660.148100,6992782695.620602,17303000517.636701,1635860,258949,1367712,3262521
2024-10-09,NASDAQ PSX (X),13050596,5523587,7982333,26556516,356122998.384400,428715204.574200,394661218.063400,1179499421.022000,81364,29108,94805,205277
2024-10-09,BYX Equities (Y),30406866,18721044,32279295,81407205,979160820.792900,774728563.210900,1091493946.744000,2845383330.747800,360937,98644,334960,794541
2024-10-09,BZX Equities (Z),145177159,114669108,167294839,427141106,7009511458.228299,6764084949.423604,9405103343.312005,23178699750.963908,1977561,573447,1862569,4413577
2024-10-08,NYSE American (A),5120547,23537023,6966125,35623695,254136184.154700,277534488.541700,273234667.706700,804905340.403100,61697,66746,53730,182173
2024-10-08,NASDAQ BX (B),8280473,14284198,11924160,34488831,510010542.518400,574754747.603200,618708376.535300,1703473666.656900,122405,74000,130964,327369
2024-10-08,NYSE National (C),9991839,12997769,11148968,34138576,304928827.462600,410172127.988800,324134428.657600,1039235384.109000,125825,58678,100243,284746
2024-10-08,FINRA / Nasdaq TRF Chicago (DB),7267756,4093634,14317218,25678608,345363691.584100,158945553.148200,956113399.883400,1460422644.615700,61918,22958,121729,206605
2024-10-08,FINRA / NYSE TRF (DN),57332257,57484005,184271134,299087396,2294190815.982700,2384455680.938300,4329785248.979601,9008431745.900601,472456,188723,614560,1275739
2024-10-08,FINRA / Nasdaq TRF Carteret (DQ),1476179383,1067365490,2795357546,5338902419,73781361693.889192,46168809437.782704,108962081644.950810,228912252776.622706,11986213,3334360,13009931,28330504
2024-10-08,MIAX Pearl (H),47972072,82572005,75008993,205553070,1095492182.742900,2432479314.786300,1707584987.066900,5235556484.596100,394629,232202,407042,1033873
2024-10-08,EDGA Equities (J),20797443,27070458,54077611,101945512,891433727.335200,864986104.495500,1052516308.034000,2808936139.864700,282293,117593,289014,688900
2024-10-08,EDGX Equities (K),128819602,169026843,362154886,660001331,5149788198.502700,6451063187.760700,13571680906.857603,25172532293.121003,1094774,710007,1874735,3679516
2024-10-08,LTSE (L),3614450,174756,4315223,8104429,388389958.809000,22321658.206400,307668113.370700,718379730.386100,34815,1004,33731,69550
2024-10-08,NYSE Chicago (M),15832576,14518997,13084821,43436394,1235972310.891300,1595700913.004300,1959793001.856800,4791466225.752400,79857,7955,75107,162919
2024-10-08,NYSE (N),832510581,51425473,66659547,950595601,46409331462.029998,2443564890.982100,3132904822.507602,51985801175.519700,2844471,177507,469712,3491690
