quarter,year,tier,ats_name,total_trades,total_shares,mpid
1,2022,tier1,CROSSSTREAM,1904374.00,701149905.00,XSTM
1,2022,tier1,POSIT,2584671.00,699870140.00,ITGP
1,2022,tier1,INSTINET BLOCKCROSS,42997.00,491414705.00,BLKX
1,2022,tier1,BNPP CORTEX ATS,4106288.00,436979169.00,BNPX
1,2022,tier1,LIQUIDNET H2O ATS,45165.00,420320790.00,LQNA
1,2022,tier1,CBX,2091078.00,349536543.00,ICBX
1,2022,tier1,CODA,1297275.00,206506426.00,CODA
1,2022,tier1,LUMINEX ATS,5695.00,180874344.00,LMNX
1,2022,tier1,LIQUIDNET NEGOTIATION ATS,6752.00,179490280.00,LQNT
1,2022,tier1,CITIBLOC,3230.00,47688279.00,CBLC
1,2022,tier1,PURESTREAM,2480166.00,30633787.00,PURE
1,2022,tier1,BOATS,118309.00,8954210.00,BLUE
1,2022,tier1,XE,1208.00,6913328.00,PJCX
1,2022,tier1,AQUA,513.00,5263235.00,AQUA
1,2022,tier1,STIFEL X,1449.00,169172.00,STFX
1,2022,tier1,CITI-ONE ATS,2.00,200.00,ONEC
2,2022,tier1,UBS ATS,74513614.00,6784159772.00,UBSA
2,2022,tier1,SIGMA X2,55625588.00,5299166267.00,SGMT
2,2022,tier1,CROSSFINDER,27266678.00,3882736142.00,CROS
2,2022,tier1,JPM-X,29028348.00,3289950098.00,JPMX
2,2022,tier1,INTELLIGENT CROSS LLC,35551883.00,2974769661.00,INCR
2,2022,tier1,LEVEL ATS,22830924.00,2769740138.00,EBXL
4,2023,otc,OTC LINK NQB IDQS,831183.00,18092991996.00,OTCN
4,2023,otc,OTC LINK ECN ATS,884074.00,877749919.00,OTCX
4,2023,otc,GLOBAL OTC,1362854.00,444433223.00,ARCA
4,2023,otc,"TZERO ATS, LLC",2176.00,596576.00,PROS
4,2023,otc,LODAS SECURITIES ALTERNATIVE TRADING SYSTEM,84.00,571864.00,ALTS
4,2023,otc,NORTH CAPITAL PRIVATE SECURITIES CORPORATION,32880.00,218364.00,PPEX
4,2023,otc,"FNC AG STOCK, LLC",51.00,72668.00,FNCA
4,2023,otc,"INX SECURITIES, LLC",4.00,7309.00,SWCL
4,2023,otc,SECURITIZE MARKETS ATS,12.00,356.00,SMKT
4,2023,otc,STARTENGINE SECONDARY,3.00,28.00,STEN
2,2022,tier1,MS POOL (ATS-4),12218829.00,2160316160.00,MSPL
2,2022,tier1,THE BARCLAYS ATS,12662947.00,1767203554.00,LATS
2,2022,tier1,BIDS ATS,1655237.00,1495808978.00,BIDS
2,2022,tier1,VIRTU MATCHIT ATS,12056846.00,1422484576.00,KCGM
2,2022,tier1,MS TRAJECTORY CROSS (ATS-1),5166421.00,1212379777.00,MSTX
2,2022,tier1,IBKR ATS,7264153.00,903854857.00,IATS
2,2022,tier1,JPB-X,13665442.00,845088126.00,JPBX
2,2022,tier1,DEALERWEB,4234.00,822333274.00,DLTA
2,2022,tier1,MS RPOOL (ATS-6),6856010.00,820953703.00,MSRP
2,2022,tier1,POSIT,2800059.00,729915825.00,ITGP
2,2022,tier1,CROSSSTREAM,2037396.00,722952493.00,XSTM
2,2022,tier1,INSTINCT X,4093067.00,632769014.00,MLIX
2,2022,tier1,INSTINET BLOCKCROSS,37644.00,406868141.00,BLKX
2,2022,tier1,LIQUIDNET H2O ATS,45860.00,385521651.00,LQNA
2,2022,tier1,BNPP CORTEX ATS,3368428.00,364533923.00,BNPX
2,2022,tier1,CBX,1939867.00,330329993.00,ICBX
2,2022,tier1,CODA,1415750.00,205895998.00,CODA
2,2022,tier1,LIQUIDNET NEGOTIATION ATS,6047.00,151872400.00,LQNT
2,2022,tier1,LUMINEX ATS,4819.00,143159711.00,LMNX
2,2022,tier1,PURESTREAM,2864233.00,37235609.00,PURE
2,2022,tier1,BOATS,117722.00,5810133.00,BLUE
2,2022,tier1,AQUA,470.00,4792514.00,AQUA
2,2022,tier1,CITI-ONE ATS,23460.00,4547965.00,ONEC
2,2022,tier1,XE,324.00,1394977.00,PJCX
2,2022,tier1,STIFEL X,1622.00,178740.00,STFX
2,2022,tier1,ONECHRONOS,2.00,200.00,CGXS
3,2022,tier1,UBS ATS,70122136.00,6118088099.00,UBSA
3,2022,tier1,SIGMA X2,50464556.00,4769839064.00,SGMT
3,2022,tier1,CROSSFINDER,22291800.00,3074573515.00,CROS
3,2022,tier1,INTELLIGENT CROSS LLC,36349105.00,3069185681.00,INCR
3,2022,tier1,JPM-X,26713747.00,2948737057.00,JPMX
3,2022,tier1,LEVEL ATS,22973798.00,2568293838.00,EBXL
3,2022,tier1,MS POOL (ATS-4),11810129.00,2060582051.00,MSPL
3,2022,tier1,THE BARCLAYS ATS,10118917.00,1518974015.00,LATS
3,2022,tier1,BIDS ATS,1548654.00,1356461719.00,BIDS
3,2022,tier1,MS TRAJECTORY CROSS (ATS-1),5168182.00,1225604518.00,MSTX
3,2022,tier1,VIRTU MATCHIT ATS,9351938.00,1179623981.00,KCGM
3,2022,tier1,INSTINCT X,7547020.00,1162139255.00,MLIX
3,2022,tier1,JPB-X,17007100.00,999409348.00,JPBX
3,2022,tier1,IBKR ATS,5804345.00,863535827.00,IATS
3,2022,tier1,CROSSSTREAM,2167094.00,786374625.00,XSTM
3,2022,tier1,DEALERWEB,3834.00,754586196.00,DLTA
3,2022,tier1,MS RPOOL (ATS-6),5992383.00,729957015.00,MSRP
3,2022,tier1,POSIT,2498486.00,655833761.00,ITGP
3,2022,tier1,INSTINET BLOCKCROSS,33788.00,357166622.00,BLKX
3,2022,tier1,LIQUIDNET H2O ATS,39080.00,349562360.00,LQNA
3,2022,tier1,BNPP CORTEX ATS,2616806.00,303396494.00,BNPX
3,2022,tier1,CBX,1610616.00,265174494.00,ICBX
3,2022,tier1,CODA,1299554.00,190211766.00,CODA
3,2022,tier1,LIQUIDNET NEGOTIATION ATS,5300.00,134127300.00,LQNT
3,2022,tier1,CITI-ONE ATS,480144.00,126973899.00,ONEC
